question,language,intent,field_focus,query_focus,source
What are the eligibility criteria for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,,synthetic
What documents are required for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,documents,,synthetic
What benefits are provided under the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,benefits,,synthetic
How much scholarship amount is provided under the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,benefits,scholarship amount,synthetic
Does the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme cover tuition fees?,en,SCHEME_INFO,benefits,tuition fee,synthetic
Does the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme reimburse examination fees?,en,SCHEME_INFO,benefits,exam fee,synthetic
Can EBC students apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,caste,synthetic
Is the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme available for SEBC students?,en,SCHEME_INFO,eligibility,caste,synthetic
Can Open category students apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,caste,synthetic
Are minority students eligible for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,caste,synthetic
What is the income limit for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,income,synthetic
Is the income limit ₹8 lakh for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,income,synthetic
Can students with annual family income above ₹8 lakh apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,income,synthetic
Is Aadhaar-linked bank account mandatory for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,Aadhaar,synthetic
Can renewal students apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,renewal,,synthetic
What are the renewal conditions for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,renewal,,synthetic
Is there any attendance requirement for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,attendance,synthetic
Is 50% attendance mandatory under the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,attendance,synthetic
Can students admitted through the management quota apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,admission quota,synthetic
Are distance learning students eligible for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,course mode,synthetic
Are private university students eligible for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,institution,synthetic
Can diploma students apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,course level,synthetic
Is the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme available for junior college students?,en,SCHEME_INFO,eligibility,course level,synthetic
Can research scholars apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,course level,synthetic
Can students studying in government colleges apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,institution,synthetic
Can students studying in aided colleges apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,institution,synthetic
Can students studying in permanently unaided institutions apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,institution,synthetic
Can a student receive another scholarship along with the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,rules,other scholarship,synthetic
What admission process is required for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,eligibility,admission process,synthetic
Who can get the ₹5,000 fixed benefit under the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme?,en,SCHEME_INFO,benefits,fixed benefit,synthetic
Does the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme provide support for JNU students?,en,SCHEME_INFO,benefits,JNU,synthetic
Is the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme only for Maharashtra domicile students?,en,SCHEME_INFO,eligibility,domicile,synthetic
Who can apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme in Maharashtra?,en,SCHEME_INFO,eligibility,domicile,synthetic
Tell me about the Scholarship to Meritorious Students possessing Mathematics / Physics.,en,SCHEME_INFO,,,synthetic
What is the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_INFO,,,synthetic
Can you explain the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
What are the eligibility criteria for the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
Can first-year college students apply for the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
Is Aadhaar mandatory for the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_ELIGIBILITY,documents,,synthetic
Can renewal students apply for the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_ELIGIBILITY,renewal,,synthetic
What are the rules for the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_ELIGIBILITY,rules,,synthetic
Is Maharashtra domicile required for the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_ELIGIBILITY,domicile,,synthetic
Can students studying outside Maharashtra apply for the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_ELIGIBILITY,location,,synthetic
Are distance learning students eligible for the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_ELIGIBILITY,course_mode,,synthetic
What marks are required to get the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_ELIGIBILITY,marks,,synthetic
How much scholarship amount is provided under the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_BENEFITS,benefits,,synthetic
What financial assistance is provided under the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_BENEFITS,benefits,,synthetic
Which colleges are covered under the Scholarship to Meritorious Students possessing Mathematics / Physics?,en,SCHEME_BENEFITS,institutions,,synthetic
Who can apply for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_INFO,,,synthetic
Tell me about the State Government Daxshina Adhichatra Scholarship.,en,SCHEME_INFO,,,synthetic
What is the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_INFO,,,synthetic
What are the eligibility criteria for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
Who is eligible for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
Can postgraduate students apply for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,education_level,,synthetic
Is first class in graduation required for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,marks,,synthetic
Can second-class students apply for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,marks,,synthetic
Is Aadhaar mandatory for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,documents,,synthetic
Can renewal students apply for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,renewal,,synthetic
What are the rules for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,rules,,synthetic
Can employed students receive the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,employment,,synthetic
Can students pursuing two courses apply for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,course,,synthetic
Is Maharashtra domicile compulsory for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,domicile,,synthetic
Can students studying outside Maharashtra apply for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,location,,synthetic
Are distance education students eligible for the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_ELIGIBILITY,course_mode,,synthetic
How much financial assistance is provided under the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_BENEFITS,benefits,,synthetic
What is the scholarship amount under the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_BENEFITS,benefits,,synthetic
Does the State Government Daxshina Adhichatra Scholarship provide a stipend?,en,SCHEME_BENEFITS,stipend,,synthetic
Which universities are covered under the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_BENEFITS,institutions,,synthetic
Which government colleges are eligible under the State Government Daxshina Adhichatra Scholarship?,en,SCHEME_BENEFITS,institutions,,synthetic
Tell me about the State Government Open Merit Scholarship.,en,SCHEME_INFO,,,synthetic
What is the State Government Open Merit Scholarship?,en,SCHEME_INFO,,,synthetic
Can you explain the State Government Open Merit Scholarship?,en,SCHEME_INFO,,,synthetic
Who is eligible for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
What are the eligibility criteria for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
Can undergraduate Arts students apply for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,course,,synthetic
Is the State Government Open Merit Scholarship available for Commerce students?,en,SCHEME_ELIGIBILITY,course,,synthetic
Can Law students apply for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,course,,synthetic
What is the minimum 12th percentage required for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,marks,,synthetic
Do I need 60% in Class 12 to apply for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,marks,,synthetic
Can students studying outside Maharashtra apply for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,residence,,synthetic
Is Maharashtra domicile mandatory for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,residence,,synthetic
Can distance education students apply for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,course_mode,,synthetic
What benefits are provided under the State Government Open Merit Scholarship?,en,SCHEME_BENEFITS,benefits,,synthetic
How much scholarship amount is given under the State Government Open Merit Scholarship?,en,SCHEME_BENEFITS,benefits,,synthetic
Is there any income limit for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,income,,synthetic
Can I renew the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,renewal,,synthetic
Is Aadhaar-linked bank account mandatory for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,documents,,synthetic
How many scholarship seats are available under the State Government Open Merit Scholarship?,en,SCHEME_INFO,seats,,synthetic
Which colleges are eligible for the State Government Open Merit Scholarship?,en,SCHEME_ELIGIBILITY,institution,,synthetic

Tell me about the State Minority Scholarship Part II (DHE).,en,SCHEME_INFO,,,synthetic
What is the State Minority Scholarship Part II (DHE)?,en,SCHEME_INFO,,,synthetic
Can you explain the State Minority Scholarship Part II (DHE)?,en,SCHEME_INFO,,,synthetic
Who is eligible for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
What are the eligibility criteria for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
What is the income limit for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,income,,synthetic
Is the income limit ₹8 lakh for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,income,,synthetic
Can minority students apply for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,community,,synthetic
Which minority communities are eligible under the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,community,,synthetic
Is EWS category required for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Can students from private universities apply for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,institution,,synthetic
Is admission through management quota allowed for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,admission,,synthetic
What benefits are available under the State Minority Scholarship Part II (DHE)?,en,SCHEME_BENEFITS,benefits,,synthetic
Does the State Minority Scholarship Part II (DHE) cover admission and semester fees?,en,SCHEME_BENEFITS,fee,,synthetic
Can girls apply for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,gender,,synthetic
Is there reservation for girls in the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,gender,,synthetic
Can I renew the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,renewal,,synthetic
Is Aadhaar-linked bank account compulsory for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,documents,,synthetic
Can students studying outside Maharashtra apply for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,residence,,synthetic
Is minimum attendance required for the State Minority Scholarship Part II (DHE)?,en,SCHEME_ELIGIBILITY,attendance,,synthetic
Tell me about the Dr Panjabrao Deshmukh Hostel Maintenance Allowance.,en,SCHEME_INFO,,,synthetic
What is the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_INFO,,,synthetic
Can you explain the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
What are the eligibility criteria for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
What is the income limit for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,income,,synthetic
Can EBC students apply for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Are SEBC students eligible for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Can Open category (EWS) students apply for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Is hostel allotment mandatory for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,hostel,,synthetic
Can students staying outside Government hostels get the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,hostel,,synthetic
What benefits are provided under the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_BENEFITS,benefits,,synthetic
How much maintenance allowance is provided under the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_BENEFITS,benefits,,synthetic
Is Aadhaar-linked bank account mandatory for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,documents,,synthetic
Can management quota students apply for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,admission,,synthetic
Can students from private universities apply for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,institution,,synthetic
Is minimum attendance required for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,attendance,,synthetic
Can I renew the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,renewal,,synthetic
How many students are selected under the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_INFO,selection,,synthetic
Can students receiving another hostel allowance apply for the Dr Panjabrao Deshmukh Hostel Maintenance Allowance?,en,SCHEME_ELIGIBILITY,other_scholarship,,synthetic

Tell me about the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme.,en,SCHEME_INFO,,,synthetic
What is the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_INFO,,,synthetic
Can you explain the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
What are the eligibility criteria for the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
What is the income limit for the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,income,,synthetic
Can EBC students apply for the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Are SEBC students eligible for the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Can Open category (EWS) students apply for the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,caste,,synthetic
What benefits are available under the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_BENEFITS,benefits,,synthetic
Does the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme reimburse tuition fees?,en,SCHEME_BENEFITS,fee,,synthetic
Does the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme cover exam fees?,en,SCHEME_BENEFITS,fee,,synthetic
Can management quota students apply for the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,admission,,synthetic
Can students from private universities apply for the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,institution,,synthetic
Can I receive another scholarship along with the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,other_scholarship,,synthetic
Is minimum attendance required for the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,attendance,,synthetic
Can I renew the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,renewal,,synthetic
Is Aadhaar-linked bank account mandatory for the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,documents,,synthetic
Are part-time or distance education students eligible for the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_ELIGIBILITY,course_mode,,synthetic
Who can get fee reimbursement under the Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme?,en,SCHEME_BENEFITS,benefits,,synthetic
Tell me about the Reimbursement of tuition fee and examination fee for girls under Rajarshri Chhatrapati Shahu Maharaj tuition fee scholarship scheme.,en,SCHEME_INFO,,,synthetic
What is the girls' Rajarshri Chhatrapati Shahu Maharaj Tuition Fee Scholarship Scheme?,en,SCHEME_INFO,,,synthetic
Can you explain the tuition fee scholarship for girls under Rajarshri Chhatrapati Shahu Maharaj?,en,SCHEME_INFO,,,synthetic
Who is eligible for the girls' Rajarshri Chhatrapati Shahu Maharaj Tuition Fee Scholarship Scheme?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
Can female students apply for the Rajarshri Chhatrapati Shahu Maharaj Tuition Fee Scholarship Scheme?,en,SCHEME_ELIGIBILITY,beneficiary,,synthetic
Is this scholarship only for girls?,en,SCHEME_ELIGIBILITY,beneficiary,,synthetic
Can EBC girls apply for this tuition fee reimbursement scheme?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Are SEBC girls eligible for this scholarship?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Can Open category (EWS) girls apply for this scheme?,en,SCHEME_ELIGIBILITY,caste,,synthetic
What is the income limit for this tuition fee reimbursement scheme?,en,SCHEME_ELIGIBILITY,income,,synthetic
What benefits are provided under the girls' tuition fee reimbursement scheme?,en,SCHEME_BENEFITS,benefits,,synthetic
Does this scheme cover tuition fees?,en,SCHEME_BENEFITS,fee,,synthetic
Does this scheme reimburse examination fees?,en,SCHEME_BENEFITS,fee,,synthetic
How much tuition fee is reimbursed under this scheme?,en,SCHEME_BENEFITS,benefits,,synthetic
How much exam fee is reimbursed under this scheme?,en,SCHEME_BENEFITS,benefits,,synthetic
Who can avail the Rajarshri Chhatrapati Shahu Maharaj girls' scholarship?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
Is this scholarship available for diploma students?,en,SCHEME_ELIGIBILITY,level,,synthetic
Can college students apply for this scholarship?,en,SCHEME_ELIGIBILITY,level,,synthetic
Is this scheme available for post-matric students?,en,SCHEME_ELIGIBILITY,level,,synthetic
Tell me the benefits of the Rajarshri Chhatrapati Shahu Maharaj girls' tuition fee scholarship.,en,SCHEME_BENEFITS,benefits,,synthetic

Tell me about the Scholarship for students of minority communities pursuing Higher and Professional courses.,en,SCHEME_INFO,,,synthetic
What is the Scholarship for students of minority communities pursuing Higher and Professional courses?,en,SCHEME_INFO,,,synthetic
Can you explain the minority scholarship for higher and professional courses?,en,SCHEME_INFO,,,synthetic
Who is eligible for the minority scholarship for higher and professional courses?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
What are the eligibility criteria for the minority scholarship?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
Which minority communities are eligible for this scholarship?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Can Muslim students apply for this scholarship?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Can Christian students apply for this scholarship?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Can Buddhist students apply for this scholarship?,en,SCHEME_ELIGIBILITY,caste,,synthetic
What is the income limit for the minority scholarship?,en,SCHEME_ELIGIBILITY,income,,synthetic
What benefits are provided under the minority scholarship?,en,SCHEME_BENEFITS,benefits,,synthetic
How much tuition fee is reimbursed under the minority scholarship?,en,SCHEME_BENEFITS,fee,,synthetic
Does the minority scholarship cover examination fees?,en,SCHEME_BENEFITS,fee,,synthetic
Can students admitted through management quota apply for the minority scholarship?,en,SCHEME_ELIGIBILITY,admission,,synthetic
Can students of private universities apply for the minority scholarship?,en,SCHEME_ELIGIBILITY,institution,,synthetic
Is Aadhaar-linked bank account mandatory for the minority scholarship?,en,SCHEME_ELIGIBILITY,documents,,synthetic
Can I renew the minority scholarship?,en,SCHEME_ELIGIBILITY,renewal,,synthetic
Is minimum attendance required for the minority scholarship?,en,SCHEME_ELIGIBILITY,attendance,,synthetic
Can I receive another scholarship along with the minority scholarship?,en,SCHEME_ELIGIBILITY,other_scholarship,,synthetic
Is the minority scholarship reserved for girl students?,en,SCHEME_ELIGIBILITY,beneficiary,,synthetic
question,language,intent,field_focus,query_focus,source
Tell me about the Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna.,en,SCHEME_INFO,,,synthetic
What is the Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DOA)?,en,SCHEME_INFO,,,synthetic
Can you explain the Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
What are the eligibility criteria for the Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
Can EBC students apply for the Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna?,en,SCHEME_ELIGIBILITY,caste,,synthetic
What is the income limit for the Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna?,en,SCHEME_ELIGIBILITY,income,,synthetic
Is hostel allotment mandatory for this scheme?,en,SCHEME_ELIGIBILITY,hostel,,synthetic
Can students staying outside government hostels apply for this scheme?,en,SCHEME_ELIGIBILITY,hostel,,synthetic
Can students admitted through management quota apply for this scheme?,en,SCHEME_ELIGIBILITY,admission,,synthetic
Is Aadhaar-linked bank account mandatory for the Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna?,en,SCHEME_ELIGIBILITY,documents,,synthetic
Can I renew the Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna?,en,SCHEME_ELIGIBILITY,renewal,,synthetic
What benefits are provided under the Dr. Panjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna?,en,SCHEME_BENEFITS,benefits,,synthetic
How much maintenance allowance is provided under this scheme?,en,SCHEME_BENEFITS,maintenance_allowance,,synthetic
What maintenance allowance is available for students in metro cities?,en,SCHEME_BENEFITS,maintenance_allowance,,synthetic
What maintenance allowance is available for students in other cities?,en,SCHEME_BENEFITS,maintenance_allowance,,synthetic
Is there any reservation for girls under this scheme?,en,SCHEME_ELIGIBILITY,beneficiary,,synthetic
Can hostellers apply for this maintenance allowance?,en,SCHEME_ELIGIBILITY,beneficiary,,synthetic
What attendance is required for this scheme?,en,SCHEME_ELIGIBILITY,attendance,,synthetic
Can private university students apply for this scheme?,en,SCHEME_ELIGIBILITY,institution,,synthetic

Tell me about the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC).,en,SCHEME_INFO,,,synthetic
What is the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC)?,en,SCHEME_INFO,,,synthetic
Can you explain the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna?,en,SCHEME_INFO,,,synthetic
Who is eligible for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
What are the eligibility criteria for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna?,en,SCHEME_ELIGIBILITY,eligibility,,synthetic
Can EBC students apply for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Can SEBC students apply for this scholarship?,en,SCHEME_ELIGIBILITY,caste,,synthetic
Can Open category (EWS) students apply for this scholarship?,en,SCHEME_ELIGIBILITY,caste,,synthetic
What is the income limit for the Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna?,en,SCHEME_ELIGIBILITY,income,,synthetic
Can diploma students apply for this scholarship?,en,SCHEME_ELIGIBILITY,level,,synthetic
Can students admitted through management quota apply for this scholarship?,en,SCHEME_ELIGIBILITY,admission,,synthetic
Can private university students apply for this scholarship?,en,SCHEME_ELIGIBILITY,institution,,synthetic
